ID	exact.mass	resolve_note	n_merged	source_ids	mass_min	mass_max	ppm_span
DL-(iso-)C14:1-diC-	255.1597		1	DL-(iso-)C14:1-diC-	255.1597	255.1597	0
FA 16:0 (putative)	255.2334		2	FA 16:0 (putative)	255.2328	255.2339	4.3098
6-phosphogluconolactone	257.0062		1	6-phosphogluconolactone	257.0062	257.0062	0
DL-(iso-)C14-diC-	257.1753		1	DL-(iso-)C14-diC-	257.1753	257.1753	0
G6P/F6P	259.0219		1	G6P/F6P	259.0219	259.0219	0
Glyceric acid 1,3-biphosphate	264.9514		1	Glyceric acid 1,3-biphosphate	264.9514	264.9514	0
tetranor 12-HETE	265.1809		1	tetranor 12-HETE	265.1809	265.1809	0
FA 17:1 (putative)	267.233		1	FA 17:1 (putative)	267.233	267.233	0
Estrone	269.1547		1	Estrone	269.1547	269.1547	0
FA 16:1;O (putative)	269.2122		1	FA 16:1;O (putative)	269.2122	269.2122	0
FA 17:0 (putative)	269.2487		1	FA 17:0 (putative)	269.2487	269.2487	0
_-estradiol	271.1704		1	_-estradiol	271.1704	271.1704	0
FA 16:0;O (putative)	271.228		1	FA 16:0;O (putative)	271.228	271.228	0
6-phosphogluconate	275.0168		1	6-phosphogluconate	275.0168	275.0168	0
FA 18:4 (putative)	275.2017		1	FA 18:4 (putative)	275.2017	275.2017	0
FA 18:3 (putative)	277.2173		1	FA 18:3 (putative)	277.21725	277.21725	0
12-HHTrE	279.1966		1	12-HHTrE	279.1966	279.1966	0
FA 18:2 (putative)	279.233		1	FA 18:2 (putative)	279.233	279.233	0
FA 18:1 (putative)	281.2484		1	FA 18:1 (putative)	281.24835	281.24835	0
FA 18:0 (putative)	283.2637		1	FA 18:0 (putative)	283.2637	283.2637	0
FA 18:0 (putative)	283.2652		1	FA 18:0 (putative)	283.2652	283.2652	0
Kaempferol	285.0405		1	Kaempferol	285.0405	285.0405	0
Estriol / 2-Hydroxyestradiol	287.1653		1	Estriol / 2-Hydroxyestradiol	287.1653	287.1653	0
Sedoheptulose-7-phosphate	289.0325		1	Sedoheptulose-7-phosphate	289.0325	289.0325	0
9-OxoOTrE (9-KOTrE)	291.1966		1	9-OxoOTrE (9-KOTrE)	291.1966	291.1966	0
Aspartame	293.1143		1	Aspartame	293.1143	293.1143	0
FA 18:3 (putative)	293.2122		1	FA 18:3 (putative)	293.2122	293.2122	0
Diclofenac	294.0094		1	Diclofenac	294.0094	294.0094	0
17_-ethinyl estradiol	295.1704		1	17_-ethinyl estradiol	295.1704	295.1704	0
FA 18:2 (putative)	295.2274		2	FA 18:2;O (putative) | FA 18:2 (putative)	295.227	295.2279	3.0485
FA 19:1 (putative)	295.2643		1	FA 19:1 (putative)	295.2643	295.2643	0
C20:7	297.1854		1	C20:7	297.1854	297.1854	0
FA 18:1;O (putative)	297.2435		1	FA 18:1;O (putative)	297.2435	297.2435	0
FA 19:0 (putative)	297.2799		1	FA 19:0 (putative)	297.2799	297.2799	0
8-hydroxyguanosine	298.0793		1	8-hydroxyguanosine	298.0793	298.0793	0
C20:6	299.2011		1	C20:6	299.2011	299.2011	0
FA 18:0;O (putative)	299.2592		1	FA 18:0;O (putative)	299.2592	299.2592	0
C20:5	301.2172		2	C20:5 | FA 20:5 (putative)	301.2167	301.2177	3.3199
C20:4	303.2328		2	C20:4 | FA 20:4 (putative)	303.2324	303.2331	2.3085
C20:3	305.248		1	C20:3	305.248	305.248	0
Glutathione (GSH)	306.0763		2	Glutathione (GSH) | glutathione (GSH) [M-H]-	306.076	306.0766	1.9603
1,N(6)-Propanodeoxyadenosine	306.1202		1	1,N(6)-Propanodeoxyadenosine	306.1202	306.1202	0
C20:2	307.2637		1	C20:2	307.2637	307.2637	0
N-Acetylneuraminic acid	308.0982		1	N-Acetylneuraminic acid	308.0982	308.0982	0
EKODE	309.2071		1	EKODE	309.2071	309.2071	0
C20:1	309.2798		2	C20:1 | FA 20:1 (putative)	309.2793	309.2804	3.5566
C20:0	311.2954		2	C20:0 | FA 20:0 (putative)	311.295	311.2958	2.5699
Octadecanedioic acid	313.2378		2	Octadecanedioic acid | 12,13-DiHOME / 9,10-DiHOME	313.2373	313.2384	3.5117
Isorhamnetin	315.051		1	Isorhamnetin	315.051	315.051	0
15d-D12,14-PGJ2/J3	315.1966		1	15d-D12,14-PGJ2/J3	315.1966	315.1966	0
FA 18:2 (putative)	315.209		1	FA 18:2 (putative)	315.209	315.209	0
Myricetin	317.0303		1	Myricetin	317.0303	317.0303	0
FA 20:5 (putative)	317.2122		1	FA 20:5 (putative)	317.2122	317.2122	0
FA 18:1 (putative)	317.225		1	FA 18:1 (putative)	317.225	317.225	0
HNE-mercapturic acid (HNE-MA)	318.1375		1	HNE-mercapturic acid (HNE-MA)	318.1375	318.1375	0
FA 20:4;O (putative)	319.2279		1	FA 20:4;O (putative)	319.2279	319.2279	0
FA 18:0 (putative)	319.241		1	FA 18:0 (putative)	319.241	319.241	0
DHN-MA (reduced HNE-MA)	320.1532		1	DHN-MA (reduced HNE-MA)	320.1532	320.1532	0
FA 20:3;O (putative)	321.2435		1	FA 20:3;O (putative)	321.2435	321.2435	0
C21:2	321.2793		1	C21:2	321.2793	321.2793	0
11-HEDE / 15-HEDE	323.2592		1	11-HEDE / 15-HEDE	323.2592	323.2592	0
C21:1	323.295		1	C21:1	323.295	323.295	0
2,3 dinor 11b PGF2a / 2,3-dinor PGE1	325.202		1	2,3 dinor 11b PGF2a / 2,3-dinor PGE1	325.202	325.202	0
C22:7	325.2167		1	C22:7	325.2167	325.2167	0
C21:0	325.3106		1	C21:0	325.3106	325.3106	0
tetranor-PGEM	327.1449		1	tetranor-PGEM	327.1449	327.1449	0
2,3-dinor-5,6-dihydro-15-F2t-IsoP (urinary product)	327.2172		1	2,3-dinor-5,6-dihydro-15-F2t-IsoP (urinary product)	327.2172	327.2172	0
C22:6	327.2327		2	C22:6 | FA 22:6 (putative)	327.2324	327.233	1.8336
cAMP	328.0452		1	cAMP	328.0452	328.0452	0
9,10,13-TriHOME / 9,12,13-TriHOME	329.2333		1	9,10,13-TriHOME / 9,12,13-TriHOME	329.2333	329.2333	0
C22:5	329.2482		2	C22:5 | FA 22:5 (putative)	329.248	329.2485	1.5186
C22:4	331.264		2	C22:4 | FA 22:4 (putative)	331.2637	331.2643	1.8112
FA 20:5 (putative)	333.2071		1	FA 20:5 (putative)	333.2071	333.2071	0
C22:3	333.2793		1	C22:3	333.2793	333.2793	0
S-formylglutathione	334.0714		1	S-formylglutathione	334.0714	334.0714	0
FA 20:4 (putative)	335.2228		1	FA 20:4 (putative)	335.2228	335.2228	0
C22:2	335.295		1	C22:2	335.295	335.295	0
S-(hydroxymethyl)glutathione	336.0871		1	S-(hydroxymethyl)glutathione	336.0871	336.0871	0
Cyclic 1,N(2)-propanodeoxyguanosine	336.1308		1	Cyclic 1,N(2)-propanodeoxyguanosine	336.1308	336.1308	0
FA 20:3 (putative)	337.2384		1	FA 20:3 (putative)	337.2384	337.2384	0
C22:1	337.3106		1	C22:1	337.3106	337.3106	0
S-sulfanylglutathione	338.0486		1	S-sulfanylglutathione	338.0486	338.0486	0
Fructose 1,6-bisphosphate	338.9636		2	(S)-3-Sulfonatolactate 2M-H | Fructose 1,6-bisphosphate	338.9631	338.9641	2.9502
Fructose 1,6-bisphosphate	338.9888		1	Fructose 1,6-bisphosphate	338.9888	338.9888	0
FA 20:4 (putative)	339.209		1	FA 20:4 (putative)	339.209	339.209	0
C22:0	339.3267		2	C22:0 | FA 22:0 (putative)	339.3263	339.3271	2.3576
Maltose	341.1089		1	Maltose	341.1089	341.1089	0
Sucrose	341.1109		1	Sucrose	341.1109	341.1109	0
2,3-dinor-6-oxoprostaglandin F1alpha / 2,3-dinor TXB2	341.197		1	2,3-dinor-6-oxoprostaglandin F1alpha / 2,3-dinor TXB2	341.197	341.197	0
FA 22:6;O (putative)	343.2279		1	FA 22:6;O (putative)	343.2279	343.2279	0
AMP	346.0561		2	AMP | Adenosine monophosphate	346.0558	346.0563	1.4449
FA 20:5 (putative)	349.202		1	FA 20:5 (putative)	349.202	349.202	0
FA 20:4 (putative)	351.2177		1	FA 20:4 (putative)	351.2177	351.2177	0
C23:1	351.3263		1	C23:1	351.3263	351.3263	0
FA 20:3 (putative)	353.2334		1	FA 20:3 (putative)	353.2334	353.2334	0
C23:0	353.3419		1	C23:0	353.3419	353.3419	0
PGF1a / 13,14dh-PGE1	355.249		1	PGF1a / 13,14dh-PGE1	355.249	355.249	0
C24:6	355.2637		1	C24:6	355.2637	355.2637	0
Indomethacin	356.0695		1	Indomethacin	356.0695	356.0695	0
C24:5	357.2793		1	C24:5	357.2793	357.2793	0
FA 22:6 (putative)	359.2228		1	FA 22:6 (putative)	359.2228	359.2228	0
C24:4	359.295		1	C24:4	359.295	359.295	0
dihydroxy_docosapentaenoic acid	361.2384		1	dihydroxy_docosapentaenoic acid	361.2384	361.2384	0
C24:3	361.3106		1	C24:3	361.3106	361.3106	0
Guanosine monophosphate	362.0496		1	Guanosine monophosphate	362.0496	362.0496	0
N-palmitoyl taurine	362.2371		1	N-palmitoyl taurine	362.2371	362.2371	0
C24:2	363.3263		1	C24:2	363.3263	363.3263	0
20-COOH LTB4	365.197		1	20-COOH LTB4	365.197	365.197	0
FA 16:0 (putative)	365.246		1	FA 16:0 (putative)	365.246	365.246	0
C24:1	365.3422		2	C24:1 | FA 24:1 (putative)	365.3419	365.3425	1.6423
Dehydroepiandrostero_ne sulfate	367.1585		1	Dehydroepiandrostero_ne sulfate	367.1585	367.1585	0
FA 20:4 (putative)	367.2126		1	FA 20:4 (putative)	367.2126	367.2126	0
FA 22:4 (putative)	367.242		1	FA 22:4 (putative)	367.242	367.242	0
C24:0	367.3576		1	C24:0	367.3576	367.3576	0
2_-Deoxycytidine diphosphate (dCDP) M-H20-H	367.9919		1	2_-Deoxycytidine diphosphate (dCDP) M-H20-H	367.9919	367.9919	0
N-oleoyl-Serine	368.2806		1	N-oleoyl-Serine	368.2806	368.2806	0
FA 20:3 (putative)	369.2283		1	FA 20:3 (putative)	369.2283	369.2283	0
Oleoyl ethanolamide	370.2963		1	Oleoyl ethanolamide	370.2963	370.2963	0
TXB1	371.2439		1	TXB1	371.2439	371.2439	0
Lithocholenic acid	373.2748		1	Lithocholenic acid	373.2748	373.2748	0
Riboflavin	375.131		1	Riboflavin	375.131	375.131	0
FA 22:6 (putative)	375.2177		1	FA 22:6 (putative)	375.2177	375.2177	0
glutathione-crotonaldehyde conjugate	376.1178		1	glutathione-crotonaldehyde conjugate	376.1178	376.1178	0
F4-neuroprostane series	377.2333		1	F4-neuroprostane series	377.2333	377.2333	0
S-Lactoylglutathione	378.0976		1	S-Lactoylglutathione	378.0976	378.0976	0
glutathione-crotonol conjugate	378.1335		1	glutathione-crotonol conjugate	378.1335	378.1335	0
Sphingosine-1-phosphate (d18:1)	378.2415		1	Sphingosine-1-phosphate (d18:1)	378.2415	378.2415	0
FA 25:1 (putative)	379.357		1	FA 25:1 (putative)	379.357	379.357	0
Sphinganine-1-phosphate (d18:0)	380.2571		1	Sphinganine-1-phosphate (d18:0)	380.2571	380.2571	0
dihomo PGF2a	381.2646		1	dihomo PGF2a	381.2646	381.2646	0
C25:0	381.3731		2	FA 24:0 (putative) | C25:0	381.373	381.3732	0.5244
S-adenosylmethionine	383.1143		1	S-adenosylmethionine	383.1143	383.1143	0
FA 24:0;O (putative)	383.353		1	FA 24:0;O (putative)	383.353	383.353	0
FA 26:5 (putative)	385.311		1	FA 26:5 (putative)	385.311	385.311	0
