ID	exact.mass
Cer 42:0 (putative)	686.622
PA O-36:1 (putative)	687.5329
PE/Cer 36:1 (putative)	687.545
FA 12:0 (putative)	688.5005
PE 32:0 (putative)	690.5079
SM 30:1 (putative)	691.5032
FA 24:1 (putative)	692.6198
FA 24:0 (putative)	694.6355
PA 36:4 (putative)	695.464
PA 36:4 (putative)	695.4916
Cer 44:1 (putative)	696.641
FA 24:0 (putative)	696.6511
PA 36:3 (putative)	697.4621
PA 36:3 (putative)	697.48
Cardiolipin CL(68:5) (putative)	698.472
PE O-34:3 (putative)	698.5139
Cer 43:1 (putative)	698.622
DG 40:8 (putative)	699.4728
PA 36:2 (putative)	699.495
PE O-34:2 (putative)	700.528
DG 40:7 (putative)	701.49
PE O-34:1 (putative)	702.5438
DG 40:6 (putative)	703.506
PA 36:0 (putative)	703.5283
DG 40:5 (putative)	705.523
SM 18:1 (putative)	709.5051
Cardiolipin CL(70:7) (putative)	710.47
Cer 44:2 (putative)	710.624
Cardiolipin CL(70:6) (putative)	711.476
FA 14:0 (putative)	711.5208
Cardiolipin CL(70:5) (putative)	712.4854
Cer 44:1 (putative)	712.638
Cardiolipin CL(70:4) (putative)	713.4944
PE 34:2 (putative)	714.5075
PE 34:1 (putative)	716.5232
1-palmitoyl-2-(4-keto-dodec-3-ene-dioyl)phosphatidylcholine	718.4301
PE 34:0 (putative)	718.538
PG (putative)	719.4869
PE O-36:6 (putative)	720.4961
PG (putative)	721.5025
Cardiolipin CL(72:9) (putative)	722.4709
PC 28:0 (putative)	722.4978
PE O-36:5 (putative)	722.5122
Cardiolipin CL(72:8) (putative)	723.4789
SM 18:1 (putative)	723.5208
NADP M-H20-H	724.0817
Cardiolipin CL(72:7) (putative)	724.4866
PE O-36:4 (putative)	724.5276
Cardiolipin CL(72:6) (putative)	725.4942
FA 15:0 (putative)	725.5364
Cardiolipin CL(72:5) (putative)	726.5021
PE O-36:3 (putative)	726.5444
FA 24:1 (putative)	726.5802
Cardiolipin CL(72:4) (putative)	727.5093
PE 18:0 (putative)	728.5586
FA 24:1 (putative)	728.5958
PE 35:1 (putative)	730.537
PE 18:0 (putative)	730.5742
PS P-33:0 (putative)	732.517
GlcCer 34:1 (putative)	734.532
Cardiolipin CL(74:10) (putative)	735.4784
SM 18:1 (putative)	735.5208
Cardiolipin/SM 74:9 (putative)	736.4866
PE O-37:5 (putative)	736.527
Cardiolipin CL(74:8) (putative)	737.4944
SM 18:1 (putative)	737.5362
Cardiolipin CL(74:7) (putative)	738.5019
PE 36:4 (putative)	738.5074
Cardiolipin CL(72:8) (putative)	739.4738
Cardiolipin CL(74:6) (putative)	739.5099
FA 16:0 (putative)	739.5521
PC 30:0 (putative)	740.4997
PE 36:3 (putative)	740.522
NADP+ [M-2H]	742.065
PE 36:2 (putative)	742.5385
PG (putative)	743.486
Cervonoyl ethanolamide 2M-H	743.5331
NADPH [M-H]	744.0805
PS P-34:1 (putative)	744.518
PE 36:1 (putative)	744.5546
FA 16:0 (putative)	744.5622
PG (putative)	745.5022
PE O-38:7 (putative)	746.5131
PE 36:0 (putative)	746.5705
Cardiolipin CL(76:12) (putative)	747.4786
PG (putative)	747.5182
SM 34:1 (putative)	747.5658
Cardiolipin CL(76:11) (putative)	748.4866
PE O-38:6 (putative)	748.5268
Cardiolipin CL(76:10) (putative)	749.4944
ST 18:1 (putative)	750.4826
Cardiolipin CL(76:9) (putative)	750.5021
PC 30:0 (putative)	750.5283
PE O-38:5 (putative)	750.5432
Cardiolipin CL(76:8) (putative)	751.509
FA 14:0 (putative)	752.4983
PE O-38:4 (putative)	752.5592
FA 17:0 (putative)	753.5677
Cardiolipin (putative)	753.979
PC 31:0 (putative)	754.5154
PE O-38:3 (putative)	754.5761
Diadenosine triphosphate M-H	755.0968
Cardiolipin CL(72:8) (putative)	755.4687
PG P-26:2 (putative)	757.539
FA 16:0 (putative)	757.9159
FA 16:0 (putative)	758.923
PG P-36:1 (putative)	759.553
PS 34:1 (putative)	760.515
Cardiolipin CL(74:8) (putative)	761.4866
Cardiolipin CL(78:12) [M-2H]2- (putative)	761.4945
PG (putative)	761.5338
PE 38:6 (putative)	762.504
PE 38:6 (putative)	762.5079
PC O-32:1 (putative)	762.5646
